Absorbance,Wavenumber
7.492095e+002,-2.291228e-003
7.496915e+002,-2.470722e-003
7.501737e+002,-2.653929e-003
7.506558e+002,-2.841701e-003
7.511379e+002,-3.028372e-003
7.516200e+002,-3.203154e-003
7.521022e+002,-3.356792e-003
7.525842e+002,-3.487860e-003
7.530664e+002,-3.604365e-003
7.535485e+002,-3.718966e-003
7.540306e+002,-3.841321e-003
7.545127e+002,-3.972868e-003
7.549949e+002,-4.104275e-003
7.554769e+002,-4.220943e-003
7.559591e+002,-4.309727e-003
7.564412e+002,-4.366676e-003
7.569233e+002,-4.398658e-003
7.574054e+002,-4.419682e-003
7.578876e+002,-4.442477e-003
7.583696e+002,-4.472714e-003
7.588518e+002,-4.507409e-003
7.593339e+002,-4.538003e-003
7.598160e+002,-4.557513e-003
7.602981e+002,-4.567021e-003
7.607803e+002,-4.575644e-003
7.612623e+002,-4.598299e-003
7.617445e+002,-4.646130e-003
7.622266e+002,-4.720898e-003
7.627087e+002,-4.813840e-003
7.631908e+002,-4.909482e-003
7.636730e+002,-4.992393e-003
7.641550e+002,-5.055082e-003
7.646372e+002,-5.100178e-003
7.651193e+002,-5.137573e-003
7.656014e+002,-5.178502e-003
7.660835e+002,-5.227611e-003
7.665657e+002,-5.280971e-003
7.670477e+002,-5.328104e-003
7.675299e+002,-5.358182e-003
7.680120e+002,-5.365284e-003
7.684941e+002,-5.352258e-003
7.689762e+002,-5.329970e-003
7.694584e+002,-5.312066e-003
7.699404e+002,-5.309906e-003
7.704226e+002,-5.328792e-003
7.709047e+002,-5.368164e-003
7.713868e+002,-5.423534e-003
7.718689e+002,-5.489073e-003
7.723511e+002,-5.559215e-003
7.728331e+002,-5.629018e-003
7.733153e+002,-5.691582e-003
7.737974e+002,-5.739130e-003
7.742795e+002,-5.764013e-003
7.747616e+002,-5.761920e-003
7.752438e+002,-5.735860e-003
7.757258e+002,-5.697567e-003
7.762080e+002,-5.665420e-003
7.766901e+002,-5.657276e-003
7.771722e+002,-5.685762e-003
7.776543e+002,-5.752013e-003
7.781365e+002,-5.846566e-003
7.786185e+002,-5.951426e-003
